------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:19:37 (uptime: 0d, 00h 00m 49s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 193
flow_mgr.flows_notimeout                      | Total                     | 1
flow_mgr.flows_timeout                        | Total                     | 192
flow_mgr.flows_timeout_inuse                  | Total                     | 192
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65339
flow_mgr.rows_empty                           | Total                     | 5
flow_mgr.rows_maxlen                          | Total                     | 2
tcp.memuse                                    | Total                     | 1720320
tcp.reassembly_memuse                         | Total                     | 7698832
http.memuse                                   | Total                     | 398221
ftp.memuse                                    | Total                     | 6011
flow.memuse                                   | Total                     | 7745560
------------------------------------------------------------------------------------
Date: 12/12/2022 -- 00:21:21 (uptime: 0d, 00h 02m 33s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 283456
decoder.bytes                                 | Total                     | 228871818
decoder.ipv4                                  | Total                     | 283414
decoder.ipv6                                  | Total                     | 16
decoder.ethernet                              | Total                     | 283456
decoder.tcp                                   | Total                     | 222921
decoder.udp                                   | Total                     | 60488
decoder.icmpv4                                | Total                     | 18
decoder.icmpv6                                | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 807
